Luas Panen;Jumlah Panen;Harga Jual;Jumlah Kebutuhan Pupuk ;Jumlah Kebutuhan Pestisida
59145;30005;14200;90540;30944
55400;28413;15800;85648;28636
62480;31537;15800;94751;31795
56301;28446;15200;85691;29019
53959;27755;14000;83830;27917
55332;27874;13000;83743;28014
54883;28130;13400;85312;28762
54444;28135;13400;84860;28244
50933;26112;15500;78612;26433
60983;30639;15200;92164;31117
52141;26713;12100;80281;26868
52701;27250;13700;82163;27596
60132;30713;11900;92364;31173
55642;28805;14300;86827;29355
61046;30704;14300;92656;31460
64451;33018;11100;99222;33939
63629;32782;10700;98931;33329
56401;28625;14600;86484;29194
51508;26366;15200;79236;26724
53016;26977;15400;81409;27439
63382;32170;15400;97146;32775
56992;29075;10700;87811;29212
53528;26945;14500;81279;27317
59387;30636;11300;92488;30930
64933;32682;15000;98866;33150
60304;30642;13900;92137;31359
61307;31637;10600;95391;32423
52356;26558;12100;79875;27506
61155;30777;12100;92856;31639
52842;26631;12300;80500;26872
51593;26583;14900;80641;27517
59171;29945;13600;90191;30265
58967;30003;12700;90967;30798
59558;30009;13500;90351;30585
56167;28788;14900;86748;29246
54888;28373;13800;85745;28837
55122;28355;14900;85656;28731
51332;26483;14100;79866;26663
57692;29455;13600;88505;30082
51344;26553;15400;80153;27386
59061;29746;13600;89661;30159
51912;26904;15100;81616;27390
62845;31583;11900;94929;31968
58198;29291;13300;88775;29434
54081;27896;11000;84347;28890
56380;28792;12500;86488;29749
54959;28019;13100;84644;28632
56497;28603;12200;86054;29009
56119;28477;13000;85610;28639
63255;32036;10800;96772;32648
61215;31544;12600;95106;31740
64174;32305;11900;97442;32822
63123;32029;13000;96362;32882
52960;27076;10800;81819;27778
55322;28566;15300;86544;29330
59100;30412;12400;91878;31185
63742;32034;15200;96719;32393
63937;32858;13200;98935;33375
64003;32323;13400;97805;33253
58786;29697;12700;89502;30272
64503;32673;10900;98267;32789
64445;33058;13300;99456;33249
56001;28139;13900;84579;29090
53260;27048;12900;81350;27345
60199;30248;12100;91707;31072
57739;29286;15600;88763;29797
63835;32882;14400;99289;33071
56025;28722;15600;86596;29343
52663;26609;14800;80481;26997
50097;25454;12600;76503;26113
61278;31228;11800;94250;32183
50585;25674;14100;77555;26586
60776;31338;15100;94508;31664
50754;25582;11500;77001;26423
53885;27509;14700;82792;28095
61854;31153;11300;94103;32126
50058;25557;15500;77335;26126
57829;29620;15500;89082;29949
62612;31773;11800;95441;32721
52824;26938;11000;81265;27089
50143;25623;11700;77085;26025
61919;31761;13100;95887;32727
60917;30856;12900;92992;31655
50394;25717;14800;77799;25817
59949;30957;12600;93191;31548
53318;27114;15200;82332;27345
51010;25743;12000;77653;26639
54983;28065;10900;84811;28476
54777;28228;15000;85568;28909
60003;30434;15900;91452;30684
61071;30907;11000;93426;31225
59489;30437;14300;91540;30698
60982;31312;12000;94091;32047
52247;26911;12800;81388;27213
53410;27596;13300;83345;28260
60408;30846;12600;93043;31811
54244;27623;15900;83056;28407
54068;27376;13200;83120;27947
57986;29672;11200;89750;29986
63837;32391;12500;98132;32845
58062;29342;10800;88873;29491
50668;26322;12700;79722;26756
53920;27289;13800;82676;27582
51624;26551;12500;80448;27391
56364;28299;12000;85122;28859
55260;28048;13500;84657;28971
51865;26449;11800;80181;26785
57093;28648;10900;86380;28768
50381;26103;11900;79032;26558
52677;26739;15200;81114;27163
50238;25436;12200;77249;25772
51911;26360;14700;79562;26607
52859;26551;12800;80289;26744
61325;31403;14400;94684;31803
56327;28532;15700;86269;28838
59521;30027;15900;90287;30513
51822;26463;11900;79849;26637
63870;32662;14400;98670;33330
51397;26460;11900;79818;27290
52170;26557;15300;80409;27118
