provinsi;luaslahan
Aceh;2097071    
Aceh;1437577    
Aceh;652791    
Aceh;1033097    
Aceh;714227    
Sumatera Utara;3090042    
Sumatera Utara;3114522    
Sumatera Utara;2498973    
Sumatera Utara;2157182    
Sumatera Utara;1543463    
Sumatera Barat;737533    
Sumatera Barat;633629    
Sumatera Barat;538103    
Sumatera Barat;911126    
Sumatera Barat;1065579    
Riau;321564    
Riau;269396    
Riau;286070    
Riau;281259    
Riau;617413    
Jambi;761754    
Jambi;579285    
Jambi;595740    
Jambi;578063    
Jambi;408187    
Sumatera Selatan;1167693    
Sumatera Selatan;1853492    
Sumatera Selatan;1249299    
Sumatera Selatan;495618    
Sumatera Selatan;784023    
Bengkulu;2236599    
Bengkulu;1631415    
Bengkulu;1735537    
Bengkulu;2631781    
Bengkulu;2228526    
Lampung;1757976    
Lampung;1036548    
Lampung;1127320    
Lampung;1121252    
Lampung;1011576    
Kepulauan Bangka Belitung;98012    
Kepulauan Bangka Belitung;257346    
Kepulauan Bangka Belitung;91715    
Kepulauan Bangka Belitung;96836    
Kepulauan Bangka Belitung;103526    
Kepulauan Riau;12199    
Kepulauan Riau;10509    
Kepulauan Riau;9224    
Kepulauan Riau;12933    
Kepulauan Riau;14921    
DKI Jakarta;8451    
DKI Jakarta;3836    
DKI Jakarta;1949    
DKI Jakarta;6129    
DKI Jakarta;3107    
Jawa Barat;25533794    
Jawa Barat;22505678    
Jawa Barat;15655196    
Jawa Barat;10868882    
Jawa Barat;14237923    
Jawa Tengah;23089391    
Jawa Tengah;27028041    
Jawa Tengah;18143343    
Jawa Tengah;18459733    
Jawa Tengah;16242621    
DI Yogyakarta;2211824    
DI Yogyakarta;2383192    
DI Yogyakarta;2001531    
DI Yogyakarta;2310922    
DI Yogyakarta;1904977    
Jawa Timur;52928938    
Jawa Timur;32568610    
Jawa Timur;42390781    
Jawa Timur;49125970    
Jawa Timur;28784746    
Banten;901261    
Banten;702060    
Banten;510968    
Banten;345420    
Banten;401218    
Bali;1940554    
Bali;1790777    
Bali;792310    
Bali;480826    
Bali;222168    
Nusa Tenggara Barat;53495    
Nusa Tenggara Barat;60077    
Nusa Tenggara Barat;171821    
Nusa Tenggara Barat;280465    
Nusa Tenggara Barat;158808    
Nusa Tenggara Timur;1361421    
Nusa Tenggara Timur;831428    
Nusa Tenggara Timur;636393    
Nusa Tenggara Timur;871646    
Nusa Tenggara Timur;916259    
Kalimantan Barat;1487320    
Kalimantan Barat;1482279    
Kalimantan Barat;1069248    
Kalimantan Barat;974025    
Kalimantan Barat;1265480    
Kalimantan Tengah;180455    
Kalimantan Tengah;261218    
Kalimantan Tengah;181595    
Kalimantan Tengah;213151    
Kalimantan Tengah;289018    
Kalimantan Selatan;4857482    
Kalimantan Selatan;5649357    
Kalimantan Selatan;2215191    
Kalimantan Selatan;2495316    
Kalimantan Selatan;2187255    
Kalimantan Timur;395454    
Kalimantan Timur;442408    
Kalimantan Timur;444194    
Kalimantan Timur;407216    
Kalimantan Timur;359556    
Kalimantan Utara;196136    
Kalimantan Utara;37044    
Kalimantan Utara;68139    
Kalimantan Utara;97137    
Kalimantan Utara;165282    
Sulawesi Utara;194895    
Sulawesi Utara;328102    
Sulawesi Utara;580256    
Sulawesi Utara;717180    
Sulawesi Utara;236839    
Sulawesi Tengah;140306    
Sulawesi Tengah;146614    
Sulawesi Tengah;310506    
Sulawesi Tengah;253970    
Sulawesi Tengah;112399    
Sulawesi Selatan;15382729    
Sulawesi Selatan;7777881    
Sulawesi Selatan;3921274    
Sulawesi Selatan;3470204    
Sulawesi Selatan;3325562    
Sulawesi Tenggara;7236735    
Sulawesi Tenggara;9391048    
Sulawesi Tenggara;1032270    
Sulawesi Tenggara;791216    
Sulawesi Tenggara;477760    
Gorontalo;11323    
Gorontalo;16451    
Gorontalo;38069    
Gorontalo;184950    
Gorontalo;21948    
Sulawesi Barat;44003    
Sulawesi Barat;112382    
Sulawesi Barat;53281    
Sulawesi Barat;404145    
Sulawesi Barat;255231    
Maluku;544376    
Maluku;497063    
Maluku;168321    
Maluku;47239    
Maluku;52867    
Maluku Utara;13419    
Maluku Utara;16906    
Maluku Utara;60535    
Maluku Utara;135512    
Maluku Utara;635682    
Papua Barat;5126    
Papua Barat;13039    
Papua Barat;6217    
Papua Barat;2444    
Papua Barat;9155    
Papua;8091    
Papua;24351    
Papua;5021    
Papua;10650    
Papua;8240    
