"user","waktu","komentar","Sentimen"
"Citra","2 bulan lalu","Indah sekali.. Tempatnya bersih dan sudah dikelola dengan baik. Kesini sewaktu musim kemarau, aliran air terjunnya cukup deras dan benar2 berwarna tosca 😍. Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah, …","Positif"
"ASTRI RINO OKVITASARI","2 bulan lalu","Bagussss banget... lokasi nya dari sampang kota sekitar 1.5 jam di tempuh dg mobil. Tiket masuk cuma 5rb/org. Parkir mobil 5rb. Deket sama tempat makan view nya juga bagus. Makanan nya juga enak. Rekomendasi ikan bakar, sama ikan bumbu 3 …","Positif"
"Marcelles Caryabudi ST RFP","6 bulan lalu","Tiket masuk 5000/orang
Parkir mobil 5000
Sudah di kelola dengan lebih baik daripada bbrp tahun lalu. Ada kamar mandi, …","Netral"
"Sahid Hasan","5 bulan lalu","sayang sekali pas waktu berkunjung kesini debit airnya lagi tinggi dan air laitnya lagi pasang, tapi untuk tempat parkir dan kebersihan cukup bagus dan tempatnya nyaman","Positif"
"Antonina Suryantari","7 bulan lalu","Tempatnya bagus tetapi agak kotor. Ada limbah tebu yang sepertinya dibuang di sekitar area sehingga ada bau tidak sedap yang tercium. Kalau areanya bersih, akan lebih menyenangkan menghabiskan waktu di sana.","Positif"
"Sitti Nurul Hidayah","3 bulan lalu","Sangat sejuk berrasa dibawah air terjun dengam air sungai yg bercampur dengan air laut yg begitu bening","Netral"
"Mochammad Aris","4 bulan lalu","Tempatnya bagus, hanya saja lebih bagus lagi kalau pas air lautnya surut","Positif"
"Ara fiansyah","5 bulan lalu","Bagus tempatnya dan dikelola dg baik,cuma butuh edukasi buat pengunjung biar ga buang sampah sembarangan. Tempatnya cukup bersih,tapi memang ada beberapa sampah kecil yg aku liat dan tidak cukup mengganggu","Positif"
"shofia_ annura","2 bulan lalu","untuk view air terjunnya bagus sekalii","Positif"
"Gabriel Pramana","8 bulan lalu","Pemandangannya bagus tempatnya nyaman. Tetapi sangat di sayangkan dialiran air terjun masih banyak sampah sampah plastik yang berserakan, alangkah lebih baik pengelola dapat membersihkan sampah sampah tersebut agar pemandangan jauh lebih baik lagi","Positif"
"S Nowo El Mahdy","2 tahun lalu","Dulu lumayan sering ke sini.
Salah satu destinasi paling favorit kalau hendak hunting foto landscape di Pulau Madura. …","Netral"
"Faisol Munif","4 tahun lalu","Air terjun toroan ini bagus sekali, air terjun yang jatuhnya langsung ke laut. Pemandangan yang indah, bisa menikmati air terjun sekaligus menikmati keindahan laut lepas. Ada beberapa spot untuk foto yang bagus untuk dijadikan tempat untuk …","Positif"
"Dito Donito","sebulan lalu","Tempat nya nyaman banget... Menu ikan bakar nya mantap banget.. Sering juga kesini...","Netral"
"tri haryadi","2 tahun lalu","2/6/21. Pemandangan di sini bagus karena memadukan air terjun dan laut. Harga tiket masuknya murah, 5k/orang. Tapi perawatan dan pengembangannya kurang. Banyak sampah. Harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek, 5k/motor R2. Kalau ada yang mau ditanya, silakan. Jangan lupa like juga.","Positif"
"agus suwandi","2 bulan lalu","Spot lokasi wisata yang wajib kita kunjung ketika berkunjung ke pulau Madura","Netral"
"Adi Purna","2 tahun lalu","07 november 2020
Unik jg air terjun di pinggir laut
Saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim …","Positif"
"N3Y","3 tahun lalu","Pulau Madura ternyata mempunyai obyek wisata air terjun juga, sy pikir Madura hanya mempunyai obyek wisata bukit kapur dan pantai saja. Ternyata Madura mempunyai obyek wisata yang menakjubkan salah satunya adalah air terjun Toroan. …","Netral"
"noer kholis","4 bulan lalu","Rame disini, kalo cari kulineran disini banyak. Tapi seru kalo ke air terjunnya, kalo lagi pasang kayaknya sangat engga disarankan untuk mandi di air terjunnya. Cukup bayar parkir kendaraan disini. Lahan parkirnya juga luas bias motor dan mobil, bus pariwisata juga bisa.","Netral"
"izdiharuddin muhammad","11 bulan lalu","Pemandangan yg indah, adem pula suasanyanya meskipun pinggir laut. Cuman air terjunya hanya ada ketika musim hujan","Positif"
"PJ Curious","4 tahun lalu","Air yang mengalir jernih, langsung di samping laut persis jadi dapat dua keuntungan kalau kesini (suasana air terjun dan desiran ombak pesisir laut). Sayang sekali masih banyak sampah yang terbawa aliran. …","Negatif"
"Hidayatul Mustofa","6 bulan lalu","Tempat yg bagus..
Air terjun alami..
Suasana adem.. …","Positif"
"Novakusuma Bangsa","11 bulan lalu","tempat wisata yg keren dan recomended bgt buat dikunjungi, apalagi kuliner dan es degannya yg bner2 bisa buat kita move on dari mantan😍 …","Positif"
"Nur Azizah","2 tahun lalu","25-10-2021
Tiket masuk 5rb/orang, anak2 free
Batu karang nya sampai hampir ke tengah, air sekitar air terjun agak keruh, tp …","Netral"
"Nurdin Rizqiansyah","2 tahun lalu","Wisata air terjun toroan...
Airnya sungai langsung terjun ke laut...
Tempatnya terawat dan bagus dilihatnya... …","Positif"
"Dsrism -","5 tahun lalu","Viewnya baguss,, apalagi yang doyan foto & selfie, recommended banget deh.
Air terjun yg langsug mengarah ke laut utara jawa, tapi sayang tidak diperbolehkan renang di air terjunnya. …","Positif"
"Hendra Susanto","setahun lalu","Mantap viewnya bagus banget, terlihat masih asri dan air terjunnya langsung ke pantai","Positif"
"nonie Oktaviani","4 bulan lalu","Tiket masuk murah, pemandanganya ga kalah bagus dari pantai lain, karena pantai ini tidak di perbukitan atau hutan tapi air terjun ini di pesisir pantai, spot foto yg keren saat senja tiba.","Positif"
"FeriARFA","4 tahun lalu","Wisata air terjun toroan ini memiliki pesona yang luar biasa indahnya. Baru pemerintahan kabupaten Sampang yang Sekarang /sekitar tahun 2016 sampai sekarang pembangunan kawasan air terjun toroan gencar dilakukan. Sayangnya disepanjang bibir …","Positif"
"Herlina Anita","4 tahun lalu","Air terjun toroan terletak di kabupaten sampang. Air terjunnya tdk terlalu tinggi. Pemandangan di sekitar lumayan bagus apalagi kalo saat matahari mau tenggelam. Jalan menuju lokasi medannya baik dan lancar. Di air terjun toroan ini tidak diperbolehkan untuk mandi karena sdh pernah menelan korban jiwa. Tidak bisa buat kemah juga.","Positif"
"Eza Veris024","3 bulan lalu","Tempat yang satu ini tergolong unik dan menarik buat dikunjungi, karena air terjunnya langsung tumpah dan menyatu dengan laut. Aliran air terjunnya berasal dari hulu sungai yang berada diatas air terjun.","Netral"
"Yoshima Putri","4 tahun lalu","Pas nyampe disana. Pemandangan kalender ini mah. Wkwk
Liat aja foto2 nya bener keren, ini salah satu air terjun yang airnya langsung diterusin ke laut. Waw. Hati2 tapi kalau berenang disini takut keseret ke laut. Tapi selama laut gak pasang, worth it banget lah .. Air tenang, bening kayak kristal 😎 …","Positif"
"Indra Susandi","3 tahun lalu","Dari Sumenep ke air terjun yang berada di utara ini benar2 butuh perjuangan. Melewati hutan2 sepi dan perbukitan serta jalannya banyak lubang. Sampai Ketapang sudah malan dan nginap di spbu karena satu2nya homestay sdh full. Pagi2 ke air …","Netral"
"Muh. Sifaul Muztahid","5 tahun lalu","Toroan Waterfall is Waterfall that directly meet sea. Actually even this place is small but it's quite beautiful place. Now days this place is really crowded by many local tourist and there's trash everywhere. This place looks like is still …","Netral"
"RnT","5 tahun lalu","Lokasinya berada di pinggir jalan pantura Madura sehingga sangat mudah dijangkau. Pertama kali sampai, pemandangan laut biru menyambut. Air Terjun Toroan memiliki keunikan menghadap langsung ke laut. Untuk menuju lokasi air terjun kita …","Netral"
"anaid run","2 bulan lalu","View nya bagus sekali apalagi pas sowrey² 😍😍 …","Positif"
"Rahmi Saptarianti","5 tahun lalu","Melipir ke sini...Air Terjun Toroan adalah salah satu air terjun yg indah di Madura, buat saya unik karena air terjun ini langsung mengalir ke laut Utara Jawa. Biasanya kalo pengen liat sunset ke pantai identik sama pasir kan? Nah di Toroan …","Positif"
"moh rasul","setahun lalu","Tempatnya bagus tolong di tambahkan tempat buat spot spot foto selain air terjunnya dan taman main untuk anak bisa di rekomendasi kan.","Positif"
"asan vagez","2 tahun lalu","Sengkok oreng ketapang cong.. dus nodusih

Sangat TIDAK rekomendasi,. …","Netral"
"Samsul Arifin","4 bulan lalu","Tempat nya indah, ayo kita lestarikan wisata alam negeri kita.
Patut lah kita jaga keindahan alam kita
Buang lah sampah pada tempatnya,jangan kotori bumi kita dengan sampah dll …","Positif"
"Tamamul Anwar","5 tahun lalu","Suasananya nyaman.  Dari kota sampang ke sini butuh waktu  kurang lebih jam.  Disini terdapat 3 air terjun   1 lebar dan 2 kecil. Rekom buat teman teman yang ada di daerah sekitar sampang.  Bisa buat memajakan mata.  Foto di ambil saat siang hari.  Eh iya harga parkir nya juga standar kok.","Netral"
"Luki Hidayah","9 bulan lalu","Patut dicoba, masih sangat alami, sebelum masuk infokan ke petugas airnya ada, krn kalau musin kemarau suka kecil debit air terjunnya","Netral"
"Zein Calvin Story","4 tahun lalu","Bagus,tidak perlu jauh jauh jalan dari parkirannya,,biaya masuknya juga cukup murah hanya 10rb untuk 1 mobil.hanya saja tempat parkir disini  panas tidak ada tempat teduh..","Positif"
"Atika Anggiasih","3 tahun lalu","Nice view. Tp ga sanggup naek turun tangganya sih.
Blm diexplore banget jg soalnya. Letaknya juga di jalur utara madura yg masih baru banget.
Masih sepi tempatnya.","Netral"
"Rud Yanto","5 tahun lalu","Tempatnya keren, ada cafenya juga... Tapi sayang kotor , air terjunnya keren dalam gak bisa buat mandi..  mungkin kotor karena di atasnya ada sungai jadi warga kampung di atasnya buang sampah sembarang an","Positif"
"Setya Saf","5 tahun lalu","Menurut saya pribadi ini tempat terbagus di madura heheee selain bukit kapur otentiknya. Aslinya kalo dilihat dr atas, sungai yg menjadi Hulu air terjun cukup kotor dan membawa sampah, tapi setelah terjun menghasilkan pemandangan yg ciamik. …","Positif"
"Deshe Lia","3 bulan lalu","Tempatnya bagus bgt, senang kalau liburan ketempat4 kaya gini. Bikin happy, dan air terjun nya bagus bgt","Positif"
"Masagus Imaduddin","3 tahun lalu","Jarang-jarang ada air terjun di pinggir pantai nih.

Reccomend banget kesini, tapi emang harus sabar di perjalanan, agak jauh memang …","Netral"
"Vicky Faisal","setahun lalu","Air Terjun Toroan. Satu satunya air terjun yg ada di Madura. Yang mana sumbernya dari mata air alami yang langsung turun ke Laut. Lokasi air terjun ini berada di Desa Ketapang Timur Kecamatan Ketapang Kabupaten Sampang Madura. Lokasinya tepat di Pinggir jalan mempermudah wisatawan untuk berkunjung ke tempat ini.","Netral"
"Ligar Syam Rama","5 tahun lalu","Lokasi sekitar 80 km dari jembatan suramadu, tp dengan jalan yg lumayan bagus dan sepi jd g trlalu bosen d jalan.
Sampai d lokasi langsung saja parkir, tidak dipungut biaya masuk lokasi air …","Positif"
"Riska Auliya","4 tahun lalu","Nice bagus, cuma saya datang pas habis hujan jadi jalanan agak licin jadi hati-hati ya man teman, ada warung juga parkir lumayan luas","Positif"
"Abbu 1234","5 tahun lalu","enak buat tempat istirahat sebentar,trus pemandanganx lumayan bagus dan murah meriah,,,😀😀😀 …","Positif"
"Waskitho Wee","2 tahun lalu","Secara pemandangan, air terjun ini biasa saja sebenarnya, aku bahkan meragukan kata ""air terjun"" karena tingginya yang cuma beberapa meter saja. Jalan sebentar dari parkiran dan air terjun langsung terlihat, gak butuh treking panjang. …","Netral"
"muhammad ansani","setahun lalu","Tempatnya nyaman lesehan, makanannya lumayan banyak menu yg disajikan tentunya pinggir laut jadi dapat pemandangan sekaligus bisa menyantap hidangan","Netral"
"tufail aulia","5 tahun lalu","Air terjun toroan, dilengkapi fasilitas musholla, toilet, warung makan kadang buka kadang tutup, mudah terlihat dari jalan raya. Wisata masih alami hanya kena parkir R4 10.000, R2 5000. parkir luas dan nyaman.","Netral"
"Arif jeeh","3 tahun lalu","Keren banget sih, saya kesini waktu sore jadi hasil fotonya keren. Masuk cuma bayar parkir aja kok. Buat ke air terjunnya juga dekat, turun sedikit aja dari parkiran. Di dekat parkiran juga terdapat penjual makanan dan minuman lesehan yang langsung view ke arah pantainya","Positif"
"dyah purwanti","4 tahun lalu","Air terjunnya biasa aja cuma letaknya langsung jatuh ke pantai itu yang bikin banyak orang penasaran,tempat untuk makan dan minum,toilet sudah ada tapi untuk mushola ada sih tapi bentuknya seperti gardu jaga.mestinya mushollanya dibuat jauh lebih baik agar waktu beribadah lebih nyaman.","Netral"
"Fathur Rozi","3 bulan lalu","Bagus namun belum bersih pantainya, kalau saja dirawat dan dibersihkan akan sangat amat indah","Positif"
"Faradina Ilma","setahun lalu","Kesana pas airnya deres banget. Tapi keren, bagus pemandangannya","Positif"
"Bang Tora","4 tahun lalu","Entah berapa kali mengunjungi Pulau Madura, keliling melipir jalur pantura dan mengexplore obyek wisatanya. Mengexplore dari Bangkalan hingga Sumenep. Pulau ini selalu jadi ""jujukan"" saat kawan-kawan luar Jawa datang dan ingin merasakan …","Netral"
"faiqotul isma dwi utami","5 tahun lalu","Super keren twmpat ini...

Air terjun langsung ke laut lepas
Masuknya free, cma bayar uang parkir motor 5000 aja","Positif"
"fadel abu aufa","5 tahun lalu","Anda lewat pantura madura, rasanya kurang lengkap tanpa mampir di air terjun toroan tepatnya di ketapang timur kabupaten sampang, air terjunnya langsung jatuh ke laut dan satu-satunya di madura dan sekarang sudah ada rest area, tempat parkir, rumah makan serta toilet","Netral"
"candri maulida","setahun lalu","Tempat nya baguss,  pantai yang ada air terjun nya..  Untuk biaya masuk 5.000 perorang dan parkir motor hanya 5.000. Kesana paling enak pagi pas air surut jadi bisa foto di spot² yang bagus..","Positif"
"INJ PenaOficial","3 tahun lalu","Tempat sngat strategis, tepat di sebelah jalan raya, pemandangan sangat bagus, apalagi ketika pagi dan sore, ditambah dengan desain cafe yg sangat cantik serta dinding tangga yang cerah2","Positif"
"Joko Suprapto","setahun lalu","Pemandangan cukup bagus kebersihan lumayan bagus Smg LBH ditingkatkan lagi dg fasilitas yg bagus bisa bersaing dg wisata lainnya","Positif"
"4r1f Maman","2 tahun lalu","Alhamdulillah,Segala puji bagi Allah,tuhan tunggal,Esa....cuma dipingir banyak sampah...kalau bisa pengurus mungut biaya masuk, tiap hari bersihkan sampahnya☺","Negatif"
"Lek Yung","3 tahun lalu","Tdk rugi dtg ke tempat ini .... jalan nya enak, gak terlalu jauh .... akses masuk ke air terjun sangat dekat .... jalannya enak .... air terjun bagus .....","Positif"
"riko hannafi","setahun lalu","Air terjun turoan. Air terjun yg mengarah langsung ke pantai. Fasilitas lengkap ada mushola, parkir luas.tp sayang tidak boleh berenang di area air terjun.lumayan untuk liburan menikmati alam.","Netral"
"Petualang Hijrah Original Video No Editing","3 tahun lalu","Wisata asik... sederhana.. bagus buat selfi dan foto...harga tiket masuk cuman 3000","Positif"
"Feizal Aditya","4 tahun lalu","Air terjunnya keren airnya langsung jatuh pinggir pantai, pantai lumayan bersih, akses gratis cuma bayar parkir aja untuk motor 5rb, ada tempat makan juga.","Positif"
"BEBASAKSES 00","4 tahun lalu","Air Terjun Toroan KCT/ Ketapang/ KBT/ Sampang ( MADURA ) Tempat Nya Bagus Untuk Di Kunjungi All Turns.
All Sejagat Raya  ( ATT BEST ) Air nya menyatu dengan air lautan samudera.  Air …","Positif"
"Ila Muizza","5 tahun lalu","Tempatnya bagus dan sejuk. Masuk gratis. Cuma bayar parkir 5rb. Kalau ke sini cobain foto dari atas air terjunnya. Lihat pemandangan di bawah dari atas. Lokasinya deket toilet.","Positif"
"Moh. Ghufron Cholid","3 tahun lalu","Sangat menarik hati pemandangannya dan bikin liburan bersama keluarga semakin berkesan","Netral"
"Agus Purnomo","5 tahun lalu","Menarik, menyenangkan ada tempat makan lesehan utk sekedar istirahat dn mengisi perut dg pemandangan pantai sipp","Netral"
"Whitelist Official","4 tahun lalu","Tempatnya bagus cuman agak kurang terawat banyak sampah berserakan","Positif"
"Muhammad Nur Adil","5 tahun lalu","Terbayarkan dengan panorama yang indah, gabungan antara air terjungan dengan pantai sangat memanjakan mata.","Positif"
"Nova Oktavia","4 bulan lalu","Air terjunnya dekat pinggir laut.pemandangannya indah danbagus banget rekomend banget","Positif"
"lis miati","4 tahun lalu","Tempat nya Nayaman sejuk bagus buat berfoto dengan keluarga ...tp kl hujan laut nya ad sampah"" yg merusak pemandangan mata","Positif"
"zaidan z","3 bulan lalu","Tempatnya bagus bnget.... alternatif liburan sekolah, bersama keluarga","Positif"
"Asep Septian","4 bulan lalu","Woow Bagus Indah Air Terjun Pemandangan Nya Pun Sangat Asri Sejuk","Positif"
