provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Aceh;Jahe;2015;2097071;4771566;12000;2097071;1048536
Aceh;Jahe;2016;1437577;7378255;10600;1437577;718789
Aceh;Jahe;2017;652791;1839503;10500;652791;326396
Aceh;Jahe;2018;1033097;3307073;14200;1033097;516549
Aceh;Jahe;2019;714227;2155952;11800;714227;357114
Bali;Jahe;2015;1940554;5735658;12200;1940554;970277
Bali;Jahe;2016;1790777;5732844;11000;1790777;895389
Bali;Jahe;2017;792310;2793836;13100;792310;396155
Bali;Jahe;2018;480826;1093655;14900;480826;240413
Bali;Jahe;2019;222168;886146;10900;222168;111084
Banten;Jahe;2015;901261;1247320;14500;901261;450631
Banten;Jahe;2016;702060;1665053;15200;702060;351030
Banten;Jahe;2017;510968;2793836;10600;510968;255484
Banten;Jahe;2018;345420;681810;15000;345420;172710
Banten;Jahe;2019;401218;847959;14100;401218;200609
Bengkulu;Jahe;2015;2236599;11558519;12400;2236599;1118300
Bengkulu;Jahe;2016;1631415;11260336;14300;1631415;815708
Bengkulu;Jahe;2017;1735537;2793836;14200;1735537;867769
Bengkulu;Jahe;2018;2631781;13988248;13900;2631781;1315891
Bengkulu;Jahe;2019;2228526;14025136;15400;2228526;1114263
DI Yogyakarta;Jahe;2015;2211824;4617291;14100;2211824;1105912
DI Yogyakarta;Jahe;2016;2383192;4917635;11200;2383192;1191596
DI Yogyakarta;Jahe;2017;2001531;2793836;14400;2001531;1000766
DI Yogyakarta;Jahe;2018;2310922;5455788;12400;2310922;1155461
DI Yogyakarta;Jahe;2019;1904977;4549794;11200;1904977;952489
DKI Jakarta;Jahe;2015;8451;10245;11900;8451;4226
DKI Jakarta;Jahe;2016;3836;5227;12800;3836;1918
DKI Jakarta;Jahe;2017;1949;2793836;11300;1949;975
DKI Jakarta;Jahe;2018;6129;13748;15400;6129;3065
DKI Jakarta;Jahe;2019;3107;8893;15200;3107;1554
Gorontalo;Jahe;2015;11323;11843;12000;11323;5662
Gorontalo;Jahe;2016;16451;82968;11200;16451;8226
