provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Aceh;Kencur;2015;27850,00;57.092;11200;27.850;13.925
Aceh;Kencur;2016;32930,00;64.818;11100;32.930;16.465
Aceh;Kencur;2017;53739,00;168.492;10900;53.739;26.870
Aceh;Kencur;2018;68685,00;178.404;15500;68.685;34.343
Aceh;Kencur;2019;89981,00;484.980;12500;89.981;44.991
Bali;Kencur;2015;388414,00;743.660;13400;388.414;194.207
Bali;Kencur;2016;441538,00;802.581;11900;441.538;220.769
Bali;Kencur;2017;349007,00;893.814;13100;349.007;174.504
Bali;Kencur;2018;304717,00;412.812;11700;304.717;152.359
Bali;Kencur;2019;183055,00;479.222;12000;183.055;91.528
Banten;Kencur;2015;812443,00;1.160.051;10600;812.443;406.222
Banten;Kencur;2016;484703,00;1.072.343;10500;484.703;242.352
Banten;Kencur;2017;331654,00;493.814;13800;331.654;165.827
Banten;Kencur;2018;417308,00;737.294;12300;417.308;208.654
Banten;Kencur;2019;332640,00;538.215;10800;332.640;166.320
Bengkulu;Kencur;2015;675396,00;1.895.014;13200;675.396;337.698
Bengkulu;Kencur;2016;627221,00;1.295.478;14600;627.221;313.611
Bengkulu;Kencur;2017;474216,00;1.133.498;11600;474.216;237.108
Bengkulu;Kencur;2018;519011,00;752.392;14900;519.011;259.506
Bengkulu;Kencur;2019;328881,00;488.374;14800;328.881;164.441
DI Yogyakarta;Kencur;2015;1028407,00;2.097.210;15400;1.028.407;514.204
DI Yogyakarta;Kencur;2016;1034950,00;2.087.236;12200;1.034.950;517.475
DI Yogyakarta;Kencur;2017;848770,00;1.924.051;11100;848.770;424.385
DI Yogyakarta;Kencur;2018;914482,00;1.906.722;14600;914.482;457.241
DI Yogyakarta;Kencur;2019;905914,00;1.868.663;12000;905.914;452.957
DKI Jakarta;Kencur;2015;1224,00;2.144;14900;1.224;612
DKI Jakarta;Kencur;2016;715,00;1.319;14800;715;358
DKI Jakarta;Kencur;2017;743,00;5.037;14900;743;372
DKI Jakarta;Kencur;2018;1936,00;3.108;13700;1.936;968
DKI Jakarta;Kencur;2019;1019,00;2.522;14100;1.019;510
Gorontalo;Kencur;2015;1003,00;805;12800;1.003;502
Gorontalo;Kencur;2016;2005,00;1.257;11200;2.005;1.003
Gorontalo;Kencur;2017;5,00;2;12900;5;3
Gorontalo;Kencur;2018;0,00;0;12800;0;0
Gorontalo;Kencur;2019;0,00;0;13200;0;0
Jambi;Kencur;2015;150379,00;883.758;10700;150.379;75.190
Jambi;Kencur;2016;336793,00;1.278.017;14300;336.793;168.397
Jambi;Kencur;2017;78727,00;325.391;11400;78.727;39.364
Jambi;Kencur;2018;116828,00;199.469;11900;116.828;58.414
Jambi;Kencur;2019;67450,00;120.070;14900;67.450;33.725
Jawa Barat;Kencur;2015;2564242,00;4.313.583;14800;2.564.242;1.282.121
Jawa Barat;Kencur;2016;2120888,00;2.912.672;15200;2.120.888;1.060.444
Jawa Barat;Kencur;2017;2393065,00;4.808.701;12300;2.393.065;1.196.533
Jawa Barat;Kencur;2018;2550168,00;4.790.440;10900;2.550.168;1.275.084
Jawa Barat;Kencur;2019;4321450,00;6.856.648;12900;4.321.450;2.160.725
Jawa Tengah;Kencur;2015;5569158,00;8.764.880;10900;5.569.158;2.784.579
Jawa Tengah;Kencur;2016;4986263,00;8.690.536;13200;4.986.263;2.493.132
Jawa Tengah;Kencur;2017;4740408,00;7.580.869;14100;4.740.408;2.370.204
