provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Aceh;Kunyit;2015;629789,00;1.514.997;12600;629.789;314.895
Aceh;Kunyit;2016;604585,00;3.050.746;15200;604.585;302.293
Aceh;Kunyit;2017;456711,00;1.169.205;15400;456.711;228.356
Aceh;Kunyit;2018;1833404,00;7.127.619;11300;1.833.404;916.702
Aceh;Kunyit;2019;877631,00;4.526.650;10900;877.631;438.816
Bali;Kunyit;2015;1459724,00;2.479.884;11700;1.459.724;729.862
Bali;Kunyit;2016;423569,00;4.748.366;14800;423.569;211.785
Bali;Kunyit;2017;661975,00;12.335.424;12900;661.975;330.988
Bali;Kunyit;2018;1372480,00;489.320;10900;1.372.480;686.240
Bali;Kunyit;2019;4020667,00;4.439.496;12700;4.020.667;2.010.334
Banten;Kunyit;2015;1380871,00;855.975;11800;1.380.871;690.436
Banten;Kunyit;2016;515798,00;1.004.713;13500;515.798;257.899
Banten;Kunyit;2017;400021,00;1.708.473;14300;400.021;200.011
Banten;Kunyit;2018;407204,00;1.380.661;12600;407.204;203.602
Banten;Kunyit;2019;428478,00;1.450.069;15300;428.478;214.239
Bengkulu;Kunyit;2015;962515,00;5.863.042;12400;962.515;481.258
Bengkulu;Kunyit;2016;845362,00;4.535.612;11500;845.362;422.681
Bengkulu;Kunyit;2017;652369,00;4.076.490;12000;652.369;326.185
Bengkulu;Kunyit;2018;899368,00;4.124.577;13700;899.368;449.684
Bengkulu;Kunyit;2019;937802,00;4.108.019;12000;937.802;468.901
DI Yogyakarta;Kunyit;2015;1068957,00;1.197.304;11800;1.068.957;534.479
DI Yogyakarta;Kunyit;2016;1053288,00;3.014.014;14400;1.053.288;526.644
DI Yogyakarta;Kunyit;2017;1030997,00;2.928.667;12200;1.030.997;515.499
DI Yogyakarta;Kunyit;2018;1096957,00;3.116.303;11900;1.096.957;548.479
DI Yogyakarta;Kunyit;2019;1149969,00;3.147.465;14200;1.149.969;574.985
DKI Jakarta;Kunyit;2015;3698,00;16.803;12900;3.698;1.849
DKI Jakarta;Kunyit;2016;1846,00;9.380;12000;1.846;923
DKI Jakarta;Kunyit;2017;1376,00;7.880;14800;1.376;688
DKI Jakarta;Kunyit;2018;2771,00;8.808;15100;2.771;1.386
DKI Jakarta;Kunyit;2019;2568,00;6.246;11800;2.568;1.284
Gorontalo;Kunyit;2015;16395,00;35.385;12300;16.395;8.198
Gorontalo;Kunyit;2016;16328,00;51.496;14100;16.328;8.164
Gorontalo;Kunyit;2017;26802,00;15.081;13900;26.802;13.401
Gorontalo;Kunyit;2018;52700,00;140;15300;52.700;26.350
Gorontalo;Kunyit;2019;12933,00;16.318;14700;12.933;6.467
Jambi;Kunyit;2015;212418,00;751.981;14700;212.418;106.209
Jambi;Kunyit;2016;387820,00;779.496;12700;387.820;193.910
Jambi;Kunyit;2017;179695,00;421.173;15000;179.695;89.848
Jambi;Kunyit;2018;236343,00;535.314;14900;236.343;118.172
Jambi;Kunyit;2019;166026,00;1.133.798;13200;166.026;83.013
Jawa Barat;Kunyit;2015;4718019,00;9.764.079;15200;4.718.019;2.359.010
Jawa Barat;Kunyit;2016;4671011,00;7.828.267;13800;4.671.011;2.335.506
Jawa Barat;Kunyit;2017;3167957,00;14.183.745;15200;3.167.957;1.583.979
Jawa Barat;Kunyit;2018;5500472,00;21.196.057;11700;5.500.472;2.750.236
Jawa Barat;Kunyit;2019;7607456,00;17.568.894;14900;7.607.456;3.803.728
Jawa Tengah;Kunyit;2015;11753111,00;28.573.746;11400;11.753.111;5.876.556
Jawa Tengah;Kunyit;2016;11080978,00;27.612.177;12100;11.080.978;5.540.489
Jawa Tengah;Kunyit;2017;9038865,00;27.908.208;14300;9.038.865;4.519.433
Jawa Tengah;Kunyit;2018;10441263,00;25.747.866;15200;10.441.263;5.220.632
Jawa Tengah;Kunyit;2019;12209306,00;23.457.136;12500;12.209.306;6.104.653
Jawa Timur;Kunyit;2015;24003433,00;91.939.935;12500;24.003.433;12.001.717
Jawa Timur;Kunyit;2016;22342713,00;13.560.485;14200;22.342.713;11.171.357
Jawa Timur;Kunyit;2017;38665439,00;37.503.966;12100;38.665.439;19.332.720
Jawa Timur;Kunyit;2018;43098661,00;33.326.049;12100;43.098.661;21.549.331
Jawa Timur;Kunyit;2019;43621260,00;57.172.617;15100;43.621.260;21.810.630
Kalimantan Barat;Kunyit;2015;427789,00;576.011;14700;427.789;213.895
Kalimantan Barat;Kunyit;2016;384902,00;1.000.644;14000;384.902;192.451
Kalimantan Barat;Kunyit;2017;272390,00;794.113;12000;272.390;136.195
Kalimantan Barat;Kunyit;2018;370132,00;668.979;13800;370.132;185.066
Kalimantan Barat;Kunyit;2019;391303,00;734.873;11000;391.303;195.652
Kalimantan Selatan;Kunyit;2015;1730322,00;1.745.098;15000;1.730.322;865.161
Kalimantan Selatan;Kunyit;2016;2131556,00;2.117.711;14900;2.131.556;1.065.778
Kalimantan Selatan;Kunyit;2017;2141756,00;468.871;14300;2.141.756;1.070.878
Kalimantan Selatan;Kunyit;2018;1509193,00;2.299.049;12000;1.509.193;754.597
Kalimantan Selatan;Kunyit;2019;1636215,00;4.126.455;14600;1.636.215;818.108
Kalimantan Tengah;Kunyit;2015;134490,00;161.577;11200;134.490;67.245
Kalimantan Tengah;Kunyit;2016;170862,00;270.826;13100;170.862;85.431
Kalimantan Tengah;Kunyit;2017;133079,00;279.249;12900;133.079;66.540
Kalimantan Tengah;Kunyit;2018;105095,00;309.963;10600;105.095;52.548
Kalimantan Tengah;Kunyit;2019;115185,00;176.804;14700;115.185;57.593
Kalimantan Timur;Kunyit;2015;90002,00;243.708;10800;90.002;45.001
Kalimantan Timur;Kunyit;2016;72643,00;178.784;11700;72.643;36.322
Kalimantan Timur;Kunyit;2017;76676,00;211.041;11800;76.676;38.338
Kalimantan Timur;Kunyit;2018;113853,00;142.861;11700;113.853;56.927
Kalimantan Timur;Kunyit;2019;99688,00;227.777;12700;99.688;49.844
Kalimantan Utara;Kunyit;2015;27127,00;55.471;12400;27.127;13.564
Kalimantan Utara;Kunyit;2016;17265,00;135.440;12100;17.265;8.633
Kalimantan Utara;Kunyit;2017;41932,00;90.619;13300;41.932;20.966
Kalimantan Utara;Kunyit;2018;34946,00;196.075;11600;34.946;17.473
Kalimantan Utara;Kunyit;2019;77206,00;580.243;12300;77.206;38.603
Kepulauan Bangka Belitung;Kunyit;2015;150158,00;352.863;13500;150.158;75.079
Kepulauan Bangka Belitung;Kunyit;2016;315073,00;422.316;14500;315.073;157.537
Kepulauan Bangka Belitung;Kunyit;2017;109527,00;536.336;14000;109.527;54.764
Kepulauan Bangka Belitung;Kunyit;2018;104558,00;364.887;14300;104.558;52.279
Kepulauan Bangka Belitung;Kunyit;2019;115639,00;254.377;13800;115.639;57.820
Kepulauan Riau;Kunyit;2015;10656,00;18.169;11000;10.656;5.328
Kepulauan Riau;Kunyit;2016;14710,00;30.766;13000;14.710;7.355
Kepulauan Riau;Kunyit;2017;12210,00;116.371;10700;12.210;6.105
Kepulauan Riau;Kunyit;2018;14232,00;21.070;12400;14.232;7.116
Kepulauan Riau;Kunyit;2019;28201,00;29.668;14300;28.201;14.101
