provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Aceh;Lengkuas;2015;49527,00;316.853; IDR14.100 ;49.527;24.764
Aceh;Lengkuas;2016;66829,00;441.494; IDR13.800 ;66.829;33.415
Aceh;Lengkuas;2017;85039,00;399.869; IDR14.500 ;85.039;42.520
Aceh;Lengkuas;2018;119932,00;543.067; IDR14.200 ;119.932;59.966
Aceh;Lengkuas;2019;142968,00;875.778; IDR12.300 ;142.968;71.484
Bali;Lengkuas;2015;483033,00;1.238.171; IDR13.900 ;483.033;241.517
Bali;Lengkuas;2016;226979,00;822.208; IDR12.300 ;226.979;113.490
Bali;Lengkuas;2017;86522,00;517.287; IDR15.300 ;86.522;43.261
Bali;Lengkuas;2018;79322,00;387.697; IDR11.100 ;79.322;39.661
Bali;Lengkuas;2019;71510,00;489.320; IDR10.900 ;71.510;35.755
Banten;Lengkuas;2015;2193027,00;4.356.122; IDR14.500 ;2.193.027;1.096.514
Banten;Lengkuas;2016;1385317,00;4.704.596; IDR10.900 ;1.385.317;692.659
Banten;Lengkuas;2017;1009532,00;3.641.410; IDR10.600 ;1.009.532;504.766
Banten;Lengkuas;2018;603233,00;2.148.668; IDR10.900 ;603.233;301.617
Banten;Lengkuas;2019;436717,00;1.708.473; IDR10.500 ;436.717;218.359
Bengkulu;Lengkuas;2015;808880,00;4.744.329; IDR13.100 ;808.880;404.440
Bengkulu;Lengkuas;2016;611690,00;3.117.040; IDR13.700 ;611.690;305.845
Bengkulu;Lengkuas;2017;397718,00;3.063.924; IDR12.500 ;397.718;198.859
Bengkulu;Lengkuas;2018;494316,00;2.327.606; IDR15.400 ;494.316;247.158
Bengkulu;Lengkuas;2019;469360,00;2.283.478; IDR12.300 ;469.360;234.680
DI Yogyakarta;Lengkuas;2015;436319,00;1.245.755; IDR11.200 ;436.319;218.160
DI Yogyakarta;Lengkuas;2016;517885,00;1.279.053; IDR12.400 ;517.885;258.943
DI Yogyakarta;Lengkuas;2017;430860,00;1.328.049; IDR12.500 ;430.860;215.430
DI Yogyakarta;Lengkuas;2018;472632,00;1.190.764; IDR10.500 ;472.632;236.316
DI Yogyakarta;Lengkuas;2019;543221,00;1.197.304; IDR11.300 ;543.221;271.611
DKI Jakarta;Lengkuas;2015;3286,00;8.374; IDR14.900 ;3.286;1.643
DKI Jakarta;Lengkuas;2016;1820,00;2.777; IDR11.900 ;1.820;910
DKI Jakarta;Lengkuas;2017;1177,00;15.164; IDR13.400 ;1.177;589
DKI Jakarta;Lengkuas;2018;3307,00;10.316; IDR13.200 ;3.307;1.654
DKI Jakarta;Lengkuas;2019;2867,00;8.808; IDR10.900 ;2.867;1.434
Gorontalo;Lengkuas;2015;1022,00;960; IDR14.800 ;1.022;511
Gorontalo;Lengkuas;2016;1516,00;1.168; IDR12.100 ;1.516;758
Gorontalo;Lengkuas;2017;4,00;2; IDR12.800 ;4;2
Gorontalo;Lengkuas;2018;200,00;86; IDR14.600 ;200;100
Gorontalo;Lengkuas;2019;144,00;140; IDR14.900 ;144;72
Jambi;Lengkuas;2015;195400,00;777.610; IDR10.500 ;195.400;97.700
Jambi;Lengkuas;2016;189182,00;933.137; IDR13.900 ;189.182;94.591
Jambi;Lengkuas;2017;181374,00;1.477.471; IDR14.300 ;181.374;90.687
Jambi;Lengkuas;2018;212799,00;871.277; IDR10.500 ;212.799;106.400
Jambi;Lengkuas;2019;336913,00;535.314; IDR14.700 ;336.913;168.457
Jawa Barat;Lengkuas;2015;1998599,00;5.349.054; IDR13.300 ;1.998.599;999.300
Jawa Barat;Lengkuas;2016;2736854,00;7.617.889; IDR11.300 ;2.736.854;1.368.427
Jawa Barat;Lengkuas;2017;3185116,00;10.091.992; IDR14.300 ;3.185.116;1.592.558
Jawa Barat;Lengkuas;2018;4419493,00;14.868.368; IDR14.100 ;4.419.493;2.209.747
Jawa Barat;Lengkuas;2019;5354726,00;17.568.894; IDR13.800 ;5.354.726;2.677.363
Jawa Tengah;Lengkuas;2015;4321435,00;13.055.705; IDR10.500 ;4.321.435;2.160.718
Jawa Tengah;Lengkuas;2016;4650169,00;14.594.301; IDR13.300 ;4.650.169;2.325.085
Jawa Tengah;Lengkuas;2017;4765896,00;15.768.793; IDR13.400 ;4.765.896;2.382.948
Jawa Tengah;Lengkuas;2018;5782904,00;18.765.630; IDR14.400 ;5.782.904;2.891.452
Jawa Tengah;Lengkuas;2019;6344812,00;18.681.968; IDR14.000 ;6.344.812;3.172.406
Jawa Timur;Lengkuas;2015;4492985,00;10.211.388; IDR11.500 ;4.492.985;2.246.493
Jawa Timur;Lengkuas;2016;6017987,00;11.562.140; IDR11.500 ;6.017.987;3.008.994
Jawa Timur;Lengkuas;2017;5981278,00;14.206.762; IDR11.200 ;5.981.278;2.990.639
