,0,1,2,Xt
0,929095000,299631000,235190500,281096000
1,299631000,235190500,281096000,298989500
2,235190500,281096000,298989500,483700500
3,281096000,298989500,483700500,529833500
4,298989500,483700500,529833500,341494500
5,483700500,529833500,341494500,480447000
6,529833500,341494500,480447000,1106604500
7,341494500,480447000,1106604500,483399000
8,480447000,1106604500,483399000,923100000
9,1106604500,483399000,923100000,442919000
10,483399000,923100000,442919000,391256000
11,923100000,442919000,391256000,548136000
12,442919000,391256000,548136000,648098500
13,391256000,548136000,648098500,961148000
14,548136000,648098500,961148000,222744000
15,648098500,961148000,222744000,187379000
16,961148000,222744000,187379000,76610000
17,222744000,187379000,76610000,178027500
18,187379000,76610000,178027500,659699000
19,76610000,178027500,659699000,562145500
20,178027500,659699000,562145500,484620000
21,659699000,562145500,484620000,267919500
22,562145500,484620000,267919500,286906000
23,484620000,267919500,286906000,482229000
24,267919500,286906000,482229000,465941000
25,286906000,482229000,465941000,206487000
26,482229000,465941000,206487000,497447000
27,465941000,206487000,497447000,708267000
28,206487000,497447000,708267000,207928500
29,497447000,708267000,207928500,315181000
30,708267000,207928500,315181000,265480000
31,207928500,315181000,265480000,259512000
32,315181000,265480000,259512000,100948000
33,265480000,259512000,100948000,158581000
34,259512000,100948000,158581000,86993500
35,100948000,158581000,86993500,188011500
36,158581000,86993500,188011500,110670000
37,86993500,188011500,110670000,288158500
38,188011500,110670000,288158500,381472500
39,110670000,288158500,381472500,760706500
40,288158500,381472500,760706500,708735500
41,381472500,760706500,708735500,2016350500
42,760706500,708735500,2016350500,591145000
43,708735500,2016350500,591145000,437411000
44,2016350500,591145000,437411000,457769500
45,591145000,437411000,457769500,529615000
46,437411000,457769500,529615000,621131000
47,457769500,529615000,621131000,718127500
48,529615000,621131000,718127500,646291500
49,621131000,718127500,646291500,216189500
50,718127500,646291500,216189500,390082500
51,646291500,216189500,390082500,368037000
52,216189500,390082500,368037000,263139000
53,390082500,368037000,263139000,721027000
54,368037000,263139000,721027000,958722000
55,263139000,721027000,958722000,1330347000
56,721027000,958722000,1330347000,712587500
57,958722000,1330347000,712587500,665766500
58,1330347000,712587500,665766500,808273500
59,712587500,665766500,808273500,570934000
60,665766500,808273500,570934000,333738000
61,808273500,570934000,333738000,522132000
62,570934000,333738000,522132000,272123000
63,333738000,522132000,272123000,881261500
64,522132000,272123000,881261500,526420500
65,272123000,881261500,526420500,529828000
66,881261500,526420500,529828000,480743500
67,526420500,529828000,480743500,455401500
68,529828000,480743500,455401500,554214500
69,480743500,455401500,554214500,468273500
70,455401500,554214500,468273500,375806003
71,554214500,468273500,375806003,349897500
72,468273500,375806003,349897500,655039000
73,375806003,349897500,655039000,1012065000
74,349897500,655039000,1012065000,173949000
75,655039000,1012065000,173949000,825738000
76,1012065000,173949000,825738000,491701500
77,173949000,825738000,491701500,421774500
78,825738000,491701500,421774500,462631000
79,491701500,421774500,462631000,372280000
80,421774500,462631000,372280000,261065500
81,462631000,372280000,261065500,229980500
82,372280000,261065500,229980500,357583500
83,261065500,229980500,357583500,316168500
84,229980500,357583500,316168500,362718500
85,357583500,316168500,362718500,766097000
86,316168500,362718500,766097000,723816000
87,362718500,766097000,723816000,1194886000
88,766097000,723816000,1194886000,559789500
89,723816000,1194886000,559789500,586234000
90,1194886000,559789500,586234000,2116856000
91,559789500,586234000,2116856000,989580500
92,586234000,2116856000,989580500,973928000
93,2116856000,989580500,973928000,915397000
94,989580500,973928000,915397000,966820500
95,973928000,915397000,966820500,757673500
96,915397000,966820500,757673500,423420000
97,966820500,757673500,423420000,225442000
98,757673500,423420000,225442000,213874001
99,423420000,225442000,213874001,330655000
100,225442000,213874001,330655000,291568500
101,213874001,330655000,291568500,327270000
102,330655000,291568500,327270000,392018000
103,291568500,327270000,392018000,600664500
104,327270000,392018000,600664500,443204000
105,392018000,600664500,443204000,326752000
106,600664500,443204000,326752000,745419500
107,443204000,326752000,745419500,597015500
108,326752000,745419500,597015500,626519500
109,745419500,597015500,626519500,342784000
110,597015500,626519500,342784000,330430500
111,626519500,342784000,330430500,331366500
112,342784000,330430500,331366500,168918500
113,330430500,331366500,168918500,265846000
114,331366500,168918500,265846000,172352500
115,168918500,265846000,172352500,227978500
116,265846000,172352500,227978500,230155500
117,172352500,227978500,230155500,229505000
118,227978500,230155500,229505000,349352000
119,230155500,229505000,349352000,542118000
120,229505000,349352000,542118000,297835500
121,349352000,542118000,297835500,331174000
122,542118000,297835500,331174000,194935000
123,297835500,331174000,194935000,218658003
124,331174000,194935000,218658003,274516500
125,194935000,218658003,274516500,240486002
126,218658003,274516500,240486002,293465000
127,274516500,240486002,293465000,221092503
128,240486002,293465000,221092503,138668500
129,293465000,221092503,138668500,379924000
130,221092503,138668500,379924000,204715500
131,138668500,379924000,204715500,212283500
132,379924000,204715500,212283500,313156000
133,204715500,212283500,313156000,171398000
134,212283500,313156000,171398000,206604503
135,313156000,171398000,206604503,324747000
136,171398000,206604503,324747000,278254000
137,206604503,324747000,278254000,264271000
138,324747000,278254000,264271000,192017506
139,278254000,264271000,192017506,316097000
140,264271000,192017506,316097000,233746009
141,192017506,316097000,233746009,186157003
142,316097000,233746009,186157003,172172000
143,233746009,186157003,172172000,194475500
144,186157003,172172000,194475500,271258500
145,172172000,194475500,271258500,171567000
146,194475500,271258500,171567000,152887500
147,271258500,171567000,152887500,183607900
148,171567000,152887500,183607900,142968000
149,152887500,183607900,142968000,258189300
150,183607900,142968000,258189300,209211200
151,142968000,258189300,209211200,244288900
152,258189300,209211200,244288900,167747000
153,209211200,244288900,167747000,192830900
154,244288900,167747000,192830900,152466600
155,167747000,192830900,152466600,182454100
156,192830900,152466600,182454100,175216400
157,152466600,182454100,175216400,164689000
158,182454100,175216400,164689000,197127900
159,175216400,164689000,197127900,352335600
160,164689000,197127900,352335600,158032900
161,197127900,352335600,158032900,253235300
162,352335600,158032900,253235300,200791500
163,158032900,253235300,200791500,248617700
164,253235300,200791500,248617700,143604700
165,200791500,248617700,143604700,147587400
166,248617700,143604700,147587400,226081200
167,143604700,147587400,226081200,139409200
168,147587400,226081200,139409200,163881600
169,226081200,139409200,163881600,163054700
170,139409200,163881600,163054700,143331300
171,163881600,163054700,143331300,234372900
172,163054700,143331300,234372900,180977200
173,143331300,234372900,180977200,247816500
174,234372900,180977200,247816500,112390300
175,180977200,247816500,112390300,106677700
176,247816500,112390300,106677700,176793200
177,112390300,106677700,176793200,207788800
178,106677700,176793200,207788800,221062300
179,176793200,207788800,221062300,289141300
180,207788800,221062300,289141300,163915000
181,221062300,289141300,163915000,278958200
182,289141300,163915000,278958200,189822700
183,163915000,278958200,189822700,118746700
184,278958200,189822700,118746700,130071600
185,189822700,118746700,130071600,190248800
186,118746700,130071600,190248800,165855800
187,130071600,190248800,165855800,239714100
188,190248800,165855800,239714100,214773000
189,165855800,239714100,214773000,138223600
190,239714100,214773000,138223600,110930100
191,214773000,138223600,110930100,106387300
192,138223600,110930100,106387300,153127200
193,110930100,106387300,153127200,211658600
194,106387300,153127200,211658600,205442500
195,153127200,211658600,205442500,211381900
196,211658600,205442500,211381900,141542300
197,205442500,211381900,141542300,161289600
198,211381900,141542300,161289600,96289300
199,141542300,161289600,96289300,204840500
200,161289600,96289300,204840500,129109000
201,96289300,204840500,129109000,99898800
202,204840500,129109000,99898800,124967800
203,129109000,99898800,124967800,147224400
204,99898800,124967800,147224400,133036700
205,124967800,147224400,133036700,196627100
206,147224400,133036700,196627100,202815200
207,133036700,196627100,202815200,191072100
208,196627100,202815200,191072100,150909100
209,202815200,191072100,150909100,167285500
210,191072100,150909100,167285500,223504300
211,150909100,167285500,223504300,189795000
212,167285500,223504300,189795000,124610200
213,223504300,189795000,124610200,150168900
214,189795000,124610200,150168900,220264200
215,124610200,150168900,220264200,132624300
216,150168900,220264200,132624300,148193200
217,220264200,132624300,148193200,140258500
218,132624300,148193200,140258500,126499900
219,148193200,140258500,126499900,152007900
220,140258500,126499900,152007900,153891300
221,126499900,152007900,153891300,255782500
222,152007900,153891300,255782500,214630600
223,153891300,255782500,214630600,267950100
224,255782500,214630600,267950100,310729400
225,214630600,267950100,310729400,254386900
226,267950100,310729400,254386900,265375900
227,310729400,254386900,265375900,219215700
228,254386900,265375900,219215700,132927700
229,265375900,219215700,132927700,283087900
230,219215700,132927700,283087900,297337500
231,132927700,283087900,297337500,267417900
232,283087900,297337500,267417900,214484700
233,297337500,267417900,214484700,273509800
234,267417900,214484700,273509800,129703400
235,214484700,273509800,129703400,123430200
236,273509800,129703400,123430200,162538700
237,129703400,123430200,162538700,174739500
238,123430200,162538700,174739500,155076700
239,162538700,174739500,155076700,153214800
240,174739500,155076700,153214800,218373300
241,155076700,153214800,218373300,209962400
242,153214800,218373300,209962400,140005900
243,218373300,209962400,140005900,148363900
244,209962400,140005900,148363900,126443300
245,140005900,148363900,126443300,271400300
246,148363900,126443300,271400300,189401800
247,126443300,271400300,189401800,200052200
248,271400300,189401800,200052200,285337900
249,189401800,200052200,285337900,166049600
250,200052200,285337900,166049600,214983600
251,285337900,166049600,214983600,228153700
252,166049600,214983600,228153700,182220300
253,214983600,228153700,182220300,161459300
254,228153700,182220300,161459300,187661400
255,182220300,161459300,187661400,154654400
256,161459300,187661400,154654400,130065900
257,187661400,154654400,130065900,173324700
258,154654400,130065900,173324700,107289700
259,130065900,173324700,107289700,249349600
260,173324700,107289700,249349600,83118600
261,107289700,249349600,83118600,0
